# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Jul  5 11:28:47 2020
#
# User preference: *
#
# CONSTRAINT:  where (pl_orbperstr not null
# CONSTRAINT:  and pl_orbsmaxstr not null
# CONSTRAINT:  and st_massstr not null
# CONSTRAINT:  and st_radstr not null
# CONSTRAINT:  and st_glon not null
# CONSTRAINT:  and st_glat not null)
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_name:        Planet Name
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_denslim:     Planet Density Limit Flag
# COLUMN pl_ttvflag:     TTV Flag
# COLUMN st_dist:        Distance [pc]
# COLUMN st_disterr1:    Distance Upper Unc. [pc]
# COLUMN st_disterr2:    Distance Lower Unc. [pc]
# COLUMN st_distlim:     Distance Limit Flag
# COLUMN gaia_dist:      Gaia Distance [pc]
# COLUMN gaia_disterr1:  Gaia Distance Upper Unc. [pc]
# COLUMN gaia_disterr2:  Gaia Distance Lower Unc. [pc]
# COLUMN gaia_distlim:   Gaia Distance Limit Flag
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_tefferr1:    Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Effective Temperature Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar radii]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar radii]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_rvamp:       Radial Velocity Amplitude [m/s]
# COLUMN pl_rvamperr1:   Radial Velocity Amplitude Upper Unc. [m/s]
# COLUMN pl_rvamperr2:   Radial Velocity Amplitude Lower Unc. [m/s]
# COLUMN pl_rvamplim:    Radial Velocity Amplitude Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN pl_masse:       Planet Mass [Earth mass]
# COLUMN pl_masseerr1:   Planet Mass Upper Unc. [Earth mass]
# COLUMN pl_masseerr2:   Planet Mass Lower Unc. [Earth mass]
# COLUMN pl_masselim:    Planet Mass Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth radii]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth radii]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth radii]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_trandur:     Transit Duration [days]
# COLUMN pl_trandurerr1: Transit Duration Upper Unc. [days]
# COLUMN pl_trandurerr2: Transit Duration Lower Unc. [days]
# COLUMN pl_trandurlim:  Transit Duration Limit Flag
# COLUMN pl_facility:    Discovery Facility
# COLUMN pl_mnum:        Number of Moons in System
# COLUMN st_glon:        Galactic Longitude [deg]
# COLUMN st_glat:        Galactic Latitude [deg]
# COLUMN st_radv:        Radial Velocity [km/s]
# COLUMN st_radverr1:    Radial Velocity Upper Unc. [km/s]
# COLUMN st_radverr2:    Radial Velocity Lower Unc. [km/s]
# COLUMN st_radvlim:     Radial Velocity Limit Flag
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_lumerr1:     Stellar Luminosity Upper Unc. [log(Solar)]
# COLUMN st_lumerr2:     Stellar Luminosity Lower Unc. [log(Solar)]
# COLUMN st_lumlim:      Stellar Luminosity Limit Flag
#
pl_hostname,pl_letter,pl_name,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_rvamplim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_facility,pl_mnum,st_glon,st_glat,st_radv,st_radverr1,st_radverr2,st_radvlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_lum,st_lumerr1,st_lumerr2,st_lumlim
K2-114,b,K2-114 b,Transit,1,11.39101300,0.00022400,-0.00022500,0,0.095400,0.001100,-0.001100,0,,,,,,,,,,,,,0,484.80,7.97,-7.97,0,482.29,8.28,-8.28,0,5044.00,68.00,-68.00,0,0.89,0.03,-0.03,0,0.84,0.02,-0.02,0,2018-10-26,,,,,661,12,-12,0,,,,,10.670,0.360,-0.360,0,,,,,K2,0,213.245934,27.550837,,,,,4.54,0.03,-0.03,0,,,,
K2-115,b,K2-115 b,Transit,1,20.27261500,0.00035600,-0.00034300,0,0.143000,0.001200,-0.001200,0,,,,,,,,,,,,,0,418.58,4.20,-4.20,0,418.57,4.34,-4.34,0,5657.00,60.00,-60.00,0,0.95,0.02,-0.02,0,0.88,0.01,-0.01,0,2018-10-26,,,,,619,8,-8,0,,,,,12.060,0.220,-0.220,0,,,,,K2,0,212.273944,26.516560,,,,,4.53,0.02,-0.02,0,,,,
K2-116,b,K2-116 b,Transit,1,4.65541100,0.00048600,-0.00047300,0,0.048000,0.002000,-0.002000,0,0.060000,0.141966,-0.053272,0,89.090,0.620,-0.710,0,,,,,0,49.46,0.12,-0.12,0,49.46,0.12,-0.12,0,4348.35,86.10,-87.78,0,0.69,0.07,-0.07,0,0.67,0.03,-0.03,0,2017-10-05,,,,,,,,,,,,,0.690,0.040,-0.040,0,,,,,K2,0,49.973015,-52.232230,-18.91,0.53,-0.53,0,,,,,,,,
K2-117,b,K2-117 b,Transit,2,1.29160000,0.00004900,-0.00005100,0,0.018900,0.000100,-0.000100,0,,,,,,,,,,,,,0,101.95,0.37,-0.37,0,101.93,0.37,-0.37,0,3778.00,53.00,-53.00,0,0.54,0.01,-0.01,0,0.51,0.01,-0.01,0,2018-10-26,,,,,868,14,-14,0,,,,,2.030,0.100,-0.100,0,,,,,K2,0,217.624984,32.245852,,,,,4.75,0.01,-0.01,0,,,,
K2-117,c,K2-117 c,Transit,2,5.44401700,0.00046200,-0.00045500,0,0.049200,0.000300,-0.000300,0,,,,,,,,,,,,,0,101.95,0.37,-0.37,0,101.93,0.37,-0.37,0,3778.00,53.00,-53.00,0,0.54,0.01,-0.01,0,0.51,0.01,-0.01,0,2018-10-26,,,,,537,9,-9,0,,,,,2.060,0.120,-0.120,0,,,,,K2,0,217.624984,32.245852,,,,,4.75,0.01,-0.01,0,,,,
K2-118,b,K2-118 b,Transit,1,50.92092000,0.00558400,-0.00524900,0,0.245000,0.008000,-0.008000,0,0.200000,0.183774,-0.159064,0,89.500,0.240,-0.120,0,,,,,0,324.70,3.80,-3.80,0,324.70,3.80,-3.80,0,4726.29,142.64,-127.34,0,0.76,0.08,-0.08,0,0.73,0.05,-0.04,0,2017-10-05,,,,,,,,,,,,,2.540,0.230,-0.200,0,,,,,K2,0,211.191835,32.820817,,,,,,,,,,,,
K2-119,b,K2-119 b,Transit,1,7.72728300,0.00126800,-0.00114900,0,0.069800,0.000600,-0.000600,0,,,,,,,,,,,,,0,369.66,4.16,-4.16,0,369.44,4.38,-4.38,0,4740.00,100.00,-100.00,0,0.76,0.02,-0.02,0,0.71,0.01,-0.01,0,2018-10-26,,,,,666,15,-15,0,,,,,2.530,0.200,-0.200,0,,,,,K2,0,209.765182,33.186030,,,,,4.62,0.01,-0.01,0,,,,
K2-12,b,K2-12 b,Transit,1,8.28212000,0.00060000,-0.00060000,0,0.080200,0.002100,-0.002100,0,,,,,,,,,,,,,0,329.36,6.23,-6.23,0,329.36,6.23,-6.23,0,5800.00,53.00,-90.00,0,1.01,0.05,-0.06,0,1.01,0.27,-0.09,0,2015-07-16,,,,,1003,121,-121,0,,,,,2.330,0.580,-0.580,0,,,,,K2,0,262.463031,58.791337,18.85,1.17,-1.17,0,,,,,,,,
K2-120,b,K2-120 b,Transit,1,9.56274200,0.00067500,-0.00067300,0,0.078000,0.003000,-0.003000,0,0.140000,0.168421,-0.105016,0,89.570,0.300,-0.420,0,,,,,0,289.54,2.33,-2.33,0,289.54,2.33,-2.33,0,4349.90,101.62,-96.12,0,0.69,0.07,-0.07,0,0.67,0.04,-0.03,0,2017-10-05,,,,,,,,,,,,,2.010,0.130,-0.120,0,,,,,K2,0,209.500311,33.411071,,,,,,,,,,,,
K2-121,b,K2-121 b,Transit,1,5.18576100,0.00002900,-0.00003000,0,0.052500,0.000300,-0.000300,0,,,,,,,,,,,,,0,170.37,1.08,-1.08,0,170.22,1.06,-1.06,0,4551.00,74.00,-74.00,0,0.72,0.01,-0.01,0,0.68,0.01,-0.01,0,2018-10-26,,,,,723,13,-13,0,,,,,7.500,0.140,-0.140,0,,,,,K2,0,206.933094,28.937201,30.15,1.16,-1.16,0,4.63,0.01,-0.01,0,,,,
K2-122,b,K2-122 b,Transit,1,2.21928200,0.00012800,-0.00013000,0,0.028500,0.000200,-0.000200,0,,,,,,,,,,,,,0,72.19,0.25,-0.25,0,72.19,0.25,-0.25,0,4027.00,45.00,-45.00,0,0.62,0.01,-0.01,0,0.60,0.01,-0.01,0,2018-10-26,,,,,814,10,-10,0,,,,,1.210,0.080,-0.080,0,,,,,K2,0,203.781091,29.532286,-14.35,0.63,-0.63,0,4.68,0.01,-0.01,0,,,,
K2-123,b,K2-123 b,Transit,1,30.95152400,0.00362500,-0.00332000,0,0.164900,0.000800,-0.000800,0,,,,,,,,,,,,,0,162.36,0.65,-0.65,0,162.31,0.65,-0.65,0,4035.00,52.00,-52.00,0,0.62,0.01,-0.01,0,0.59,0.01,-0.01,0,2018-10-26,,,,,338,5,-5,0,,,,,2.760,0.160,-0.160,0,,,,,K2,0,205.513561,36.914144,,,,,4.69,0.01,-0.01,0,,,,
K2-124,b,K2-124 b,Transit,1,6.41365100,0.00003600,-0.00003100,0,0.049000,0.002000,-0.002000,0,,,,,89.030,0.320,-0.270,0,,,,,0,140.40,2.30,-2.30,0,140.94,1.31,-1.31,0,3570.00,63.00,-70.00,0,0.39,0.01,-0.04,0,0.39,0.02,-0.01,0,2019-01-31,,,,,442,17,-17,0,,,,,2.900,0.100,-0.100,0,0.0700000,0.0020000,-0.0020000,0,K2,0,203.231642,36.725913,,,,,4.86,0.01,-0.09,0,,,,
K2-125,b,K2-125 b,Transit,1,21.75026400,0.00199000,-0.00195700,0,0.121000,0.004000,-0.005000,0,0.080000,0.161049,-0.066906,0,89.720,0.190,-0.210,0,,,,,0,124.60,0.83,-0.83,0,124.60,0.83,-0.83,0,3654.47,99.56,-92.33,0,0.49,0.05,-0.06,0,0.40,0.03,-0.03,0,2017-10-05,,,,,,,,,,,,,2.180,0.190,-0.180,0,,,,,K2,0,318.877281,46.522169,,,,,,,,,,,,
K2-126,b,K2-126 b,Transit,1,7.38565500,0.00050100,-0.00050900,0,0.065600,0.000400,-0.000400,0,,,,,,,,,,,,,0,103.29,0.75,-0.75,0,103.25,0.77,-0.77,0,4339.00,92.00,-92.00,0,0.69,0.01,-0.01,0,0.65,0.01,-0.01,0,2018-10-26,,,,,601,13,-13,0,,,,,1.970,0.120,-0.120,0,,,,,K2,0,318.558326,47.993584,1.00,2.57,-2.57,0,4.66,0.01,-0.01,0,,,,
K2-127,b,K2-127 b,Transit,1,3.58816300,0.00002800,-0.00002900,0,0.041100,0.000200,-0.000200,0,,,,,,,,,,,,,0,723.97,16.17,-16.17,0,724.35,20.62,-20.62,0,4575.00,74.00,-74.00,0,0.72,0.01,-0.01,0,0.66,0.01,-0.01,0,2018-10-26,,,,,809,15,-15,0,,,,,8.370,0.330,-0.330,0,,,,,K2,0,324.401719,48.897357,,,,,4.65,0.01,-0.01,0,,,,
K2-128,b,K2-128 b,Transit,1,5.67581900,0.00041100,-0.00041400,0,0.056000,0.002000,-0.002000,0,0.230000,0.220222,-0.193710,0,87.400,1.080,-0.660,0,,,,,0,115.01,0.92,-0.92,0,115.01,0.92,-0.92,0,4469.51,171.97,-145.15,0,0.71,0.07,-0.07,0,0.78,0.08,-0.06,0,2017-10-05,,,,,,,,,,,,,1.420,0.160,-0.130,0,,,,,K2,0,321.981376,52.553325,-13.21,0.64,-0.64,0,,,,,,,,
K2-129,b,K2-129 b,Transit,1,8.23949300,0.00029200,-0.00029100,0,0.057000,0.003000,-0.004000,0,0.130000,0.210105,-0.109504,0,89.210,0.500,-0.480,0,,,,,0,27.82,0.07,-0.07,0,27.82,0.07,-0.07,0,3459.09,89.05,-83.62,0,0.36,0.07,-0.07,0,0.36,0.03,-0.03,0,2017-10-05,,,,,,,,,,,,,1.040,0.100,-0.090,0,,,,,K2,0,12.144837,-16.572713,,,,,,,,,,,,
K2-13,b,K2-13 b,Transit,1,39.91488000,0.32477000,-0.32477000,0,0.211400,0.006100,-0.006100,0,,,,,,,,,,,,,0,345.76,4.43,-4.43,0,345.76,4.43,-4.43,0,5698.00,45.00,-82.00,0,0.80,0.04,-0.04,0,0.78,0.09,-0.05,0,2015-07-16,,,,,511,126,-126,0,,,,,1.890,0.950,-0.950,0,,,,,K2,0,257.617105,57.156218,15.45,1.39,-1.39,0,,,,,,,,
K2-130,b,K2-130 b,Transit,1,2.49412000,0.00013200,-0.00012800,0,0.032000,0.001000,-0.001000,0,0.170000,0.220344,-0.135968,0,86.530,1.920,-1.650,0,,,,,0,118.41,0.52,-0.52,0,118.41,0.52,-0.52,0,4356.47,196.73,-172.40,0,0.70,0.07,-0.07,0,0.74,0.11,-0.08,0,2017-10-05,,,,,,,,,,,,,1.250,0.200,-0.140,0,,,,,K2,0,18.257103,-15.172128,-49.60,0.65,-0.65,0,,,,,,,,
K2-131,b,K2-131 b,Transit,1,0.36931000,0.00001000,-0.00001000,0,0.009500,0.000000,0.000000,0,,,,,,,,,,,,,0,153.70,1.10,-1.00,0,153.17,1.07,-1.07,0,5245.00,46.00,-52.00,0,0.84,0.01,-0.01,0,0.75,0.01,-0.01,0,2018-07-12,,,,,2062,23,-23,0,,,,,1.700,0.090,-0.050,0,,,,,K2,0,286.680756,51.826210,-5.27,1.13,-1.13,0,4.61,0.01,-0.01,0,,,,
K2-133,b,K2-133 b,Transit,4,3.07133000,0.00011000,-0.00011000,0,0.031940,0.000250,-0.000260,0,,,,,87.600,0.180,-0.150,0,,,,,0,75.20,0.20,-0.20,0,75.33,0.20,-0.20,0,3655.00,80.00,-80.00,0,0.46,0.01,-0.01,0,0.46,0.02,-0.02,0,2019-05-23,,,,,,,,,,,,,1.340,0.077,-0.076,0,,,,,K2,0,174.753465,-14.067967,107.20,1.40,-1.40,0,,,,,-1.479,0.017,-0.017,0
K2-133,c,K2-133 c,Transit,4,4.86784000,0.00012000,-0.00012000,0,0.043410,0.000340,-0.000350,0,,,,,88.210,0.110,-0.080,0,,,,,0,75.20,0.20,-0.20,0,75.33,0.20,-0.20,0,3655.00,80.00,-80.00,0,0.46,0.01,-0.01,0,0.46,0.02,-0.02,0,2019-05-23,,,,,,,,,,,,,1.603,0.090,-0.088,0,,,,,K2,0,174.753465,-14.067967,107.20,1.40,-1.40,0,,,,,-1.479,0.017,-0.017,0
K2-133,d,K2-133 d,Transit,4,11.02454000,0.00036000,-0.00035000,0,0.074870,0.000590,-0.000600,0,,,,,89.400,0.100,-0.080,0,,,,,0,75.20,0.20,-0.20,0,75.33,0.20,-0.20,0,3655.00,80.00,-80.00,0,0.46,0.01,-0.01,0,0.46,0.02,-0.02,0,2019-05-23,,,,,,,,,,,,,2.003,0.107,-0.107,0,,,,,K2,0,174.753465,-14.067967,107.20,1.40,-1.40,0,,,,,-1.479,0.017,-0.017,0
K2-133,e,K2-133 e,Transit,4,26.58410000,0.00180000,-0.00170000,0,0.134600,0.001100,-0.001100,0,,,,,89.164,0.012,-0.010,0,,,,,0,75.20,0.20,-0.20,0,75.33,0.20,-0.20,0,3655.00,80.00,-80.00,0,0.46,0.01,-0.01,0,0.46,0.02,-0.02,0,2019-05-23,,,,,296,10,-10,0,,,,,1.730,0.140,-0.130,0,0.0600000,0.0037500,-0.0025000,0,K2,0,174.753465,-14.067967,107.20,1.40,-1.40,0,,,,,-1.479,0.017,-0.017,0
K2-137,b,K2-137 b,Transit,1,0.17971500,0.00000100,-0.00000100,0,0.005800,0.000600,-0.000600,0,0.000000,,,0,89.600,3.300,-3.300,0,,,,,0,99.15,0.61,-0.61,0,99.15,0.61,-0.61,0,3492.00,70.00,-70.00,0,0.46,0.05,-0.05,0,0.44,0.04,-0.04,0,2017-11-16,,,,,1471,47,-47,0,158.91500,,,1,0.890,0.090,-0.090,0,0.0262000,0.0011000,-0.0011000,0,K2,0,292.192696,56.176223,,,,,4.82,0.04,-0.04,0,,,,
K2-138,b,K2-138 b,Transit,5,2.35322000,0.00036000,-0.00036000,0,0.033800,0.000240,-0.000240,0,0.403000,,,1,86.900,2.200,-4.600,0,,,,,0,183.00,17.00,-17.00,0,203.75,2.02,-2.02,0,5378.00,60.00,-60.00,0,0.93,0.06,-0.06,0,0.86,0.08,-0.08,0,2018-01-11,,,,,,,,,,,,,1.570,0.280,-0.170,0,0.0720833,0.0095833,-0.0095833,0,K2,0,64.215876,-62.238813,1.17,0.56,-0.56,0,4.59,0.07,-0.07,0,,,,
K2-138,c,K2-138 c,Transit,5,3.55987000,0.00023000,-0.00022000,0,0.044540,0.000320,-0.000320,0,0.296000,,,1,87.500,1.800,-3.300,0,,,,,0,183.00,17.00,-17.00,0,203.75,2.02,-2.02,0,5378.00,60.00,-60.00,0,0.93,0.06,-0.06,0,0.86,0.08,-0.08,0,2018-01-11,,,,,,,,,,,,,2.520,0.340,-0.160,0,0.0970417,0.0039583,-0.0036667,0,K2,0,64.215876,-62.238813,1.17,0.56,-0.56,0,4.59,0.07,-0.07,0,,,,
K2-138,d,K2-138 d,Transit,5,5.40478000,0.00048000,-0.00046000,0,0.058830,0.000420,-0.000420,0,0.348000,,,1,87.900,1.500,-2.800,0,,,,,0,183.00,17.00,-17.00,0,203.75,2.02,-2.02,0,5378.00,60.00,-60.00,0,0.93,0.06,-0.06,0,0.86,0.08,-0.08,0,2018-01-11,,,,,,,,,,,,,2.660,0.390,-0.180,0,0.1237500,0.0054167,-0.0045833,0,K2,0,64.215876,-62.238813,1.17,0.56,-0.56,0,4.59,0.07,-0.07,0,,,,
K2-138,e,K2-138 e,Transit,5,8.26144000,0.00045000,-0.00044000,0,0.078070,0.000560,-0.000560,0,0.315000,,,1,88.700,0.930,-1.660,0,,,,,0,183.00,17.00,-17.00,0,203.75,2.02,-2.02,0,5378.00,60.00,-60.00,0,0.93,0.06,-0.06,0,0.86,0.08,-0.08,0,2018-01-11,,,,,,,,,,,,,3.290,0.350,-0.180,0,0.1276250,0.0044583,-0.0035417,0,K2,0,64.215876,-62.238813,1.17,0.56,-0.56,0,4.59,0.07,-0.07,0,,,,
K2-138,f,K2-138 f,Transit,5,12.75759000,0.00092000,-0.00092000,0,0.104300,0.000740,-0.000750,0,0.364000,,,1,89.030,0.700,-1.220,0,,,,,0,183.00,17.00,-17.00,0,203.75,2.02,-2.02,0,5378.00,60.00,-60.00,0,0.93,0.06,-0.06,0,0.86,0.08,-0.08,0,2018-01-11,,,,,,,,,,,,,2.810,0.360,-0.190,0,0.1329167,0.0058333,-0.0050000,0,K2,0,64.215876,-62.238813,1.17,0.56,-0.56,0,4.59,0.07,-0.07,0,,,,
K2-139,b,K2-139 b,Transit,1,28.38061900,0.00055100,-0.00052800,0,0.179600,0.001500,-0.001500,0,,,,,,,,,,,,,0,154.60,0.94,-0.94,0,154.54,0.93,-0.93,0,5370.00,68.00,-68.00,0,0.96,0.02,-0.02,0,0.88,0.01,-0.01,0,2018-10-26,,,,,524,8,-8,0,,,,,9.110,0.170,-0.170,0,,,,,K2,0,19.449925,-13.402632,-31.36,0.01,-0.01,0,4.54,0.02,-0.02,0,,,,
K2-14,b,K2-14 b,Transit,1,8.36802000,0.00019000,-0.00019000,0,0.062700,0.000600,-0.000600,0,,,,,,,,,,,,,0,367.72,8.20,-8.20,0,367.72,8.20,-8.20,0,3789.00,17.00,-16.00,0,0.47,0.01,-0.01,0,0.45,0.01,-0.01,0,2015-07-16,,,,,488,8,-8,0,,,,,4.810,0.420,-0.420,0,,,,,K2,0,270.399015,61.667552,,,,,,,,,,,,
K2-140,b,K2-140 b,Transit,1,6.56918000,0.00004000,-0.00004000,0,0.068700,0.000500,-0.000500,0,,,,,,,,,,,,,0,341.60,5.50,-5.10,0,351.21,8.19,-8.19,0,5705.00,50.00,-48.00,0,1.00,0.02,-0.02,0,0.99,0.01,-0.01,0,2018-07-12,,,,,957,11,-11,0,,,,,12.250,0.170,-0.170,0,,,,,K2,0,295.184261,52.979735,1.47,1.03,-1.03,0,4.45,0.01,-0.01,0,,,,
K2-147,b,K2-147 b,Transit,1,0.96191700,0.00002600,-0.00002600,0,0.015900,0.000500,-0.000500,0,,,,,,,,,,,,,0,88.00,13.00,-13.00,0,90.79,0.28,-0.28,0,3672.00,70.00,-70.00,0,0.58,0.06,-0.06,0,0.55,0.06,-0.06,0,2018-02-01,,,,,,,,,,,,,1.380,0.170,-0.150,0,,,,,K2,0,10.944832,-21.496834,-24.15,1.59,-1.59,0,4.72,0.05,-0.05,0,-1.292,0.085,-0.106,0
K2-148,b,K2-148 b,Transit,3,4.38395000,0.00080000,-0.00080000,0,0.045400,0.001400,-0.001400,0,,,,,,,,,,,,,0,121.00,19.00,-19.00,0,124.90,0.62,-0.62,0,4079.00,70.00,-70.00,0,0.65,0.06,-0.06,0,0.63,0.06,-0.06,0,2018-02-01,,,,,,,,,,,,,1.330,0.190,-0.180,0,,,,,K2,0,126.588915,-63.017791,1.52,1.19,-1.19,0,4.65,0.05,-0.05,0,-0.996,0.086,-0.107,0
K2-148,c,K2-148 c,Transit,3,6.92260000,0.00070000,-0.00070000,0,0.061600,0.001900,-0.001900,0,,,,,,,,,,,,,0,121.00,19.00,-19.00,0,124.90,0.62,-0.62,0,4079.00,70.00,-70.00,0,0.65,0.06,-0.06,0,0.63,0.06,-0.06,0,2018-02-01,,,,,,,,,,,,,1.730,0.240,-0.210,0,,,,,K2,0,126.588915,-63.017791,1.52,1.19,-1.19,0,4.65,0.05,-0.05,0,-0.996,0.086,-0.107,0
K2-148,d,K2-148 d,Transit,3,9.75790000,0.00100000,-0.00100000,0,0.077400,0.002400,-0.002400,0,,,,,,,,,,,,,0,121.00,19.00,-19.00,0,124.90,0.62,-0.62,0,4079.00,70.00,-70.00,0,0.65,0.06,-0.06,0,0.63,0.06,-0.06,0,2018-02-01,,,,,,,,,,,,,1.640,0.240,-0.210,0,,,,,K2,0,126.588915,-63.017791,1.52,1.19,-1.19,0,4.65,0.05,-0.05,0,-0.996,0.086,-0.107,0
K2-149,b,K2-149 b,Transit,1,11.33200000,0.00130000,-0.00130000,0,0.083000,0.002700,-0.002700,0,,,,,,,,,,,,,0,118.00,18.00,-18.00,0,124.12,0.54,-0.54,0,3745.00,70.00,-70.00,0,0.59,0.06,-0.06,0,0.57,0.06,-0.06,0,2018-02-01,,,,,,,,,,,,,1.640,0.200,-0.180,0,,,,,K2,0,117.611236,-55.469059,,,,,4.71,0.05,-0.05,0,-1.310,0.088,-0.110,0
K2-15,b,K2-15 b,Transit,1,11.81040000,0.00204000,-0.00204000,0,0.091000,0.001800,-0.001800,0,,,,,,,,,,,,,0,501.03,9.26,-9.26,0,501.03,9.26,-9.26,0,5131.00,69.00,-65.00,0,0.72,0.06,-0.03,0,0.68,0.06,-0.03,0,2015-07-16,,,,,676,26,-26,0,,,,,2.480,0.300,-0.300,0,,,,,K2,0,268.742310,63.141190,,,,,,,,,,,,
K2-150,b,K2-150 b,Transit,1,10.59357000,0.00084000,-0.00084000,0,0.072700,0.002700,-0.002700,0,,,,,,,,,,,,,0,110.00,15.00,-15.00,0,102.78,0.79,-0.79,0,3499.00,70.00,-70.00,0,0.46,0.05,-0.05,0,0.44,0.04,-0.04,0,2018-02-01,,,,,,,,,,,,,2.000,0.270,-0.210,0,,,,,K2,0,132.063041,-53.494783,,,,,4.82,0.04,-0.04,0,-1.585,0.090,-0.114,0
K2-151,b,K2-151 b,Transit,1,3.83547600,0.00026600,-0.00025600,0,0.037300,0.000200,-0.000200,0,,,,,,,,,,,,,0,69.61,0.15,-0.15,0,69.62,0.15,-0.15,0,3695.00,32.00,-32.00,0,0.47,0.01,-0.01,0,0.45,0.01,-0.01,0,2018-10-26,,,,,566,6,-6,0,,,,,1.490,0.080,-0.080,0,,,,,K2,0,133.493164,-52.840889,-49.63,1.88,-1.88,0,4.80,0.01,-0.01,0,,,,
K2-152,b,K2-152 b,Transit,1,32.64790000,0.01141000,-0.01483000,0,0.171600,0.001200,-0.001200,0,,,,,,,,,,,,,0,108.70,0.40,-0.40,0,108.79,0.41,-0.41,0,4044.00,34.00,-35.00,0,0.63,0.01,-0.01,0,0.61,0.01,-0.01,0,2018-07-12,,,,,337,3,-3,0,,,,,2.290,0.250,-0.240,0,,,,,K2,0,283.040853,55.300555,-6.70,1.02,-1.02,0,4.67,0.01,-0.01,0,,,,
